"filename", "language", "Markdown", "JavaScript", "HTML", "JSON", "CSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"/home/raphaelohai5/GitHubLandingPage/src/components/section4.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 2, 3, 37
"/home/raphaelohai5/GitHubLandingPage/src/components/section5.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 59, 0, 1, 3, 63
"/home/raphaelohai5/GitHubLandingPage/src/components/section6.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 57, 0, 1, 3, 61
"/home/raphaelohai5/GitHubLandingPage/src/components/section7.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 116, 0, 3, 8, 127
"/home/raphaelohai5/GitHubLandingPage/src/components/section8.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 70, 0, 1, 4, 75
"/home/raphaelohai5/GitHubLandingPage/src/components/section9.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 56, 0, 1, 5, 62
"/home/raphaelohai5/GitHubLandingPage/src/components/section9Cards.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 118, 0, 1, 7, 126
"/home/raphaelohai5/GitHubLandingPage/src/components/sponserCards.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 62, 0, 1, 4, 67
"/home/raphaelohai5/GitHubLandingPage/src/components/sposors.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 1, 47
"/home/raphaelohai5/GitHubLandingPage/src/components/styles/commitImage.css", "CSS", 0, 0, 0, 0, 86, 0, 0, 6, 6, 98
"/home/raphaelohai5/GitHubLandingPage/src/components/styles/section4.css", "CSS", 0, 0, 0, 0, 15, 0, 0, 2, 3, 20
"/home/raphaelohai5/GitHubLandingPage/src/components/styles/terminal.css", "CSS", 0, 0, 0, 0, 112, 0, 0, 23, 21, 156
"/home/raphaelohai5/GitHubLandingPage/src/components/svgStrocks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 46, 0, 18, 8, 72
"/home/raphaelohai5/GitHubLandingPage/src/hooks/index.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 8, 3, 29
"/home/raphaelohai5/GitHubLandingPage/src/hooks/svgResize.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"/home/raphaelohai5/GitHubLandingPage/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 15, 1, 16
"/home/raphaelohai5/GitHubLandingPage/src/main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"/home/raphaelohai5/GitHubLandingPage/src/reducer/animationSteps.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 1, 52
"/home/raphaelohai5/GitHubLandingPage/src/reducer/index.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/home/raphaelohai5/GitHubLandingPage/vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1, 323, 13, 3826, 627, 2333, 799, 220, 317, 8459
